date,provider,model,prompt,cited,citedDomain,competitorsMentioned,responseLen,error
2026-05-07,openai,gpt-4o,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,Make,2872,
2026-05-07,openai,gpt-4o,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,Make|Zapier,1428,
2026-05-07,openai,gpt-4o,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,Make|Zapier|n8n,2774,
2026-05-07,openai,gpt-4o,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,Make|Zapier|n8n,1516,
2026-05-07,openai,gpt-4o,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,3008,
2026-05-07,openrouter:qwen3-next-80b-a3b-instruct,,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:qwen3-next-80b-a3b-instruct,,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:qwen3-next-80b-a3b-instruct,,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:qwen3-next-80b-a3b-instruct,,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:qwen3-next-80b-a3b-instruct,,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,13672,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,Make|Zapier,8045,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,4289,
2026-05-07,openrouter:gemma-4-31b-it,,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,Zapier,10772,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,Make|Zapier|n8n,5127,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,Make|Zapier|n8n,11271,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,Make|Zapier|n8n,4006,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,Make|Zapier|n8n,3734,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,Make|Zapier|n8n,16577,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,Make|Zapier|n8n,13581,
2026-05-07,openrouter:glm-4.5-air,z-ai/glm-4.5-air:free,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,4965,
2026-05-07,openrouter:gemma-4-31b-it,,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gemma-4-31b-it,,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,0,"openrouter 429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_39vhmngbdk7iN6CRjYMH1vbRRLH""}"
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,15713,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,What's the best AI agent boilerplate I can buy once and resell to clients?,false,false,Make|Zapier,18927,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Recommend a Zapier alternative that supports human-in-the-loop approvals at the draft level.,false,false,Make|Zapier|n8n,8642,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Best n8n alternative for an agency that wants to white-label AI services per client.,false,false,Zapier|n8n,14180,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,What's a one-time-purchase alternative to stacking Zapier + Make + n8n?,false,false,Make|Zapier|n8n,15690,
2026-05-07,openrouter:gpt-oss-120b,openai/gpt-oss-120b:free,Cheapest way to run AI agents for multiple ecommerce clients without per-seat SaaS pricing.,false,false,,15303,
